name,index_in_978,importance,is_known_marker,rank
COL11A1,682,0.0006242893869057298,False,530
NDUFA1,421,0.0006240278598852456,False,531
FGFBP1,591,0.0006225280812941492,False,532
LAPTM4A,567,0.0006220469367690384,False,533
RPL35A,332,0.0006220107316039503,False,534
ASNS,733,0.0006182917859405279,False,535
FTL,7,0.000618045509327203,False,536
IFI27,483,0.00061715830815956,False,537
EIF6,940,0.000616076635196805,False,538
PSMA7,687,0.0006157202296890318,False,539
TSPAN8,427,0.0006152938003651798,False,540
TXN,233,0.0006144147482700646,False,541
RP11-343H19.2,946,0.0006129048997536302,False,542
RAD21,974,0.0006120248581282794,False,543
FN1,27,0.0006113320705480874,False,544
RPL27,157,0.000610817049164325,False,545
LOXL2,691,0.0006072008400224149,False,546
IGHJ2,594,0.0006065493216738105,False,547
PSME1,706,0.0006064983317628503,False,548
ALDH1A1,118,0.0006055305129848421,False,549
RPL37A,563,0.0006040616426616907,False,550
EIF3I,737,0.0006026258924975991,False,551
XXbac-BPG248L24.12,516,0.0006025939946994185,False,552
FOSL1,657,0.0006025411421433091,False,553
RPS19,457,0.0006024141330271959,False,554
RPL27A,916,0.0005978504777885973,False,555
COX7C,833,0.000597537262365222,False,556
CCL26,809,0.0005959086120128632,False,557
DCBLD2,786,0.0005949580227024853,False,558
MYC,576,0.0005906044389121234,True,559
ARPC1A,844,0.0005905902944505215,False,560
DDOST,815,0.000590298033785075,False,561
TRAV23DV6,847,0.0005893848720006645,False,562
C1QBP,888,0.0005884765414521098,False,563
VGF,485,0.0005856858915649354,False,564
ANXA3,953,0.0005855828640051186,False,565
SNRPD1,683,0.0005812668823637068,False,566
PTMA,91,0.0005781580694019794,False,567
TCN1,573,0.0005774873425252736,False,568
TPM1,552,0.0005767204565927386,False,569
PCBP1,892,0.0005759870982728899,False,570
AMBP,501,0.0005742618232034147,False,571
ALDH3A1,362,0.0005741019267588854,False,572
RN7SL5P,616,0.0005710871773771942,False,573
RPS24,284,0.0005706786760129035,False,574
IGLV2-8,93,0.0005682968767359853,False,575
NDRG1,692,0.000568114744964987,False,576
ID3,666,0.0005676206783391535,False,577
ID1,436,0.0005666775978170335,False,578
POSTN,477,0.0005653187399730086,False,579
KRT19,41,0.0005652990657836199,False,580
TCL1A,526,0.0005649822414852679,False,581
PHB1,502,0.0005613525281660259,False,582
ATF4,520,0.000561279826797545,False,583
AFP,162,0.0005612741806544363,False,584
EMP3,760,0.0005578329437412322,False,585
FKBP1A,673,0.0005571247893385589,False,586
SLC25A5,325,0.0005553523078560829,False,587
PLP2,778,0.0005548913031816483,False,588
TUBA1C,430,0.0005547790206037462,False,589
TALDO1,825,0.0005515856319107115,False,590
A2M,724,0.0005513257929123938,False,591
AZU1,350,0.0005507091409526765,False,592
RPL10A,246,0.0005502525018528104,False,593
TIMP2,869,0.0005488559254445136,False,594
GLTSCR2,693,0.0005484070279635489,False,595
MUC1,615,0.0005465714493766427,False,596
ATF5,609,0.000545155256986618,False,597
MT1E,557,0.0005447239964269102,False,598
RAC2,853,0.0005441868561320007,False,599
HSPD1,326,0.0005435949424281716,False,600
RP11-206M11.7,959,0.0005398193025030196,False,601
ROMO1,742,0.0005354445893317461,False,602
MT-RNR1,12,0.0005319671472534537,False,603
PTGES,641,0.0005314287263900042,False,604
TMED9,532,0.0005311077111400664,False,605
SERPINE1,126,0.000530440011061728,False,606
LCP1,378,0.0005277611780911684,False,607
EMP1,671,0.000527561642229557,False,608
REG1A,389,0.0005248647066764534,False,609
KRT81,129,0.0005208518705330789,False,610
LAMP1,805,0.0005205883062444627,False,611
RPL19,28,0.0005198093713261187,False,612
FOS,420,0.0005188813665881753,False,613
RPS3AP26,352,0.0005186801427043974,False,614
KRT14,84,0.0005181439919397235,False,615
SHC1,910,0.0005180450971238315,False,616
UAP1,690,0.0005177892744541168,False,617
RPLP0P6,270,0.0005160175496712327,False,618
SRGN,135,0.0005132618825882673,False,619
COX6B1,611,0.0005124788149259984,False,620
CLDN4,794,0.0005110824131406844,False,621
ANXA4,774,0.0005089963669888675,False,622
RPS20,289,0.0005088391480967402,False,623
APOE,418,0.0005082801799289882,False,624
KRT13,311,0.0005077698151580989,False,625
TPM4,514,0.000507769116666168,False,626
ADRM1,776,0.0005055482615716755,False,627
IFITM3,262,0.0005053578061051667,False,628
SRP9,918,0.0005035232752561569,False,629
FASN,748,0.0005027137231081724,False,630
RPL29,379,0.0004998790100216866,False,631
PYGB,718,0.0004993331385776401,False,632
PTRF,569,0.0004979121731594205,False,633
COX8A,341,0.0004958776407875121,False,634
PGK1,588,0.0004953829338774085,False,635
AGR2,180,0.0004929319838993251,False,636
FXYD5,957,0.0004922454827465117,False,637
RPL18,304,0.0004908983828499913,False,638
GPRC5A,704,0.0004899257328361273,False,639
